date;debit_fin_de_journee;source;pits
2014-07-04;2.0052;Storengy;Saline
2014-07-13;39.1014;Storengy;Saline
2014-07-21;33.0858;Storengy;Saline
2014-07-26;36.0936;Storengy;Saline
2014-07-29;37.0962;Storengy;Saline
2014-07-31;39.1014;Storengy;Saline
2014-08-01;38.0988;Storengy;Saline
2014-08-03;37.0962;Storengy;Saline
2014-08-06;36.0936;Storengy;Saline
2014-08-13;32.0832;Storengy;Saline
2014-08-22;3.0078;Storengy;Saline
2014-08-23;2.0052;Storengy;Saline
2014-08-27;1.0026;Storengy;Saline
2014-08-31;4.0104;Storengy;Saline
2014-09-03;21.0546;Storengy;Saline
2014-09-13;6.0156;Storengy;Saline
2014-09-16;6.0156;Storengy;Saline
2014-09-19;26.0676;Storengy;Saline
2014-09-24;-1.0026;Storengy;Saline
2014-09-27;9.0234;Storengy;Saline
2014-10-03;22.0572;Storengy;Saline
2014-10-06;3.0078;Storengy;Saline
2014-10-07;17.0442;Storengy;Saline
2014-10-13;15.039;Storengy;Saline
2014-10-26;0.0;Storengy;Saline
2014-10-27;1.0026;Storengy;Saline
2014-11-02;0.0;Storengy;Saline
2014-11-03;0.0;Storengy;Saline
2014-11-04;0.0;Storengy;Saline
2014-11-05;6.0156;Storengy;Saline
2014-11-19;0.0;Storengy;Saline
2014-11-22;1.0026;Storengy;Saline
2014-11-23;0.0;Storengy;Saline
2014-11-24;0.0;Storengy;Saline
2014-12-05;-23.0598;Storengy;Saline
2014-12-09;-30.078;Storengy;Saline
2014-12-12;-6.0156;Storengy;Saline
2014-12-18;7.0182;Storengy;Saline
2014-12-23;4.0104;Storengy;Saline
2014-12-26;8.0208;Storengy;Saline
2014-12-30;1.0026;Storengy;Saline
2014-12-31;-14.0364;Storengy;Saline
2015-01-01;-22.0572;Storengy;Saline
2015-01-04;-5.013;Storengy;Saline
2015-01-05;-28.0728;Storengy;Saline
2015-01-06;-53.1378;Storengy;Saline
2015-01-09;1.0026;Storengy;Saline
2015-01-11;-3.0078;Storengy;Saline
2015-01-15;0.0;Storengy;Saline
2015-01-22;-140.364;Storengy;Saline
2015-01-27;-131.3406;Storengy;Saline
2015-01-28;-175.455;Storengy;Saline
2015-02-06;-386.001;Storengy;Saline
2015-02-09;-329.8554;Storengy;Saline
2015-02-11;-157.4082;Storengy;Saline
2015-02-15;26.0676;Storengy;Saline
2015-03-02;1.0026;Storengy;Saline
2015-03-04;36.0936;Storengy;Saline
2015-03-05;43.1118;Storengy;Saline
2015-03-09;57.1482;Storengy;Saline
2015-03-13;54.1404;Storengy;Saline
2015-03-22;47.1222;Storengy;Saline
2015-03-24;45.117;Storengy;Saline
2015-03-27;46.1196;Storengy;Saline
2015-03-31;-11.0286;Storengy;Saline
2015-04-01;-36.5762;Storengy;Saline
2015-04-03;-56.1456;Storengy;Saline
2015-04-08;34.0884;Storengy;Saline
2015-04-14;29.0754;Storengy;Saline
2015-04-21;18.0468;Storengy;Saline
2015-04-23;20.052;Storengy;Saline
2015-04-25;25.065;Storengy;Saline
2015-05-02;24.0624;Storengy;Saline
2015-05-07;28.0728;Storengy;Saline
